,Locations,Latitude,Longitude
0,212629561,43.137407,-77.598233
1,212629563,43.136945,-77.598493
2,212676319,43.13442,-77.602399
3,212769675,43.13743,-77.603818
4,212769677,43.136636,-77.601178
5,212769679,43.1357687,-77.5983427
6,212782003,43.138067,-77.6004
7,212782005,43.137609,-77.598897
8,212813912,43.138074,-77.603483
9,212813914,43.137271,-77.600835
10,212813917,43.1364147,-77.5979767
11,212872572,43.136007,-77.601529
12,212872575,43.1351327,-77.5986997
13,212873619,43.1355527,-77.5984657
14,212904187,43.1344997,-77.5990677
15,212908698,43.135347,-77.60188
16,212908725,43.1339459,-77.6038049
17,2653824864,43.1363547,-77.5980097
18,8077196381,43.13716,-77.598372
