,Locations,Latitude,Longitude
0,212631900,43.171305,-77.560003
1,212632079,43.171419,-77.564305
2,212632082,43.172304,-77.564358
3,212693957,43.171426,-77.563953
4,212715957,43.171528,-77.559884
5,212715961,43.1721,-77.559583
6,212888552,43.171479,-77.561944
7,6987262721,43.1722396,-77.5600641
8,6987262722,43.1721057,-77.5601482
9,6987262730,43.171772,-77.5602508
10,6987262733,43.1717106,-77.5606574
11,6987262734,43.1720491,-77.5600882
12,6987262735,43.1721743,-77.5604121
13,6987262748,43.1715159,-77.5604008
14,6987262749,43.1717124,-77.5604136
15,6987262750,43.1718465,-77.5597164
16,6987262751,43.1719057,-77.559941
